lieu,cuisine_francaise,cuisine_du_monde
Arena Bercy,6.809338521400778,7.782101167315175
Arena Champ-de-Mars,8.01418439716312,5.74468085106383
Arena Paris Nord,4.3478260869565215,13.043478260869565
Arena Paris Sud,6.18705035971223,7.913669064748201
Arena Paris Sud 1,6.18705035971223,7.913669064748201
Arena Paris Sud 6,6.18705035971223,7.913669064748201
Arena Porte de La Chapelle,5.900948366701791,6.42781875658588
Centre aquatique,3.2327586206896552,10.775862068965516
Château de Versailles,0,60
Clichy-sous-Bois,6.707317073170732,13.414634146341465
Colline d'Elancourt,3.125,18.75
Concorde,8.54126679462572,5.2463211772232885
Golf national,0,25
Grand Palais,7.955002008838891,5.142627561269586
Hôtel de ville-Invalides,6.954997077732321,4.578219364893824
Invalides,8.190652475705692,4.673762147154095
Invalides-Pont Alexandre-III,8.119135046919626,4.977560179518563
Marina de Marseille,2.631578947368421,3.508771929824561
Parc des Princes,5.3061224489795915,6.938775510204081
Paris La Défense Arena,7.436399217221135,8.610567514677104
Pont Alexandre-III,8.119135046919626,4.977560179518563
Site d'escalade,4.294478527607362,13.496932515337424
Stade BMX,3.875968992248062,12.4031007751938
Stade de Bordeaux,0,0
Stade de France,3.67965367965368,9.956709956709958
Stade de la Beaujoire,5,25
Stade de Lyon,3.6363636363636362,14.545454545454545
Stade de Marseille,4.871794871794872,8.717948717948717
Stade de Nice,4,12
Stade Geoffroy-Guichard,6.41025641025641,8.974358974358974
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,4.878048780487805,2.4390243902439024
Stade nautique-Bassin eau vive,4.878048780487805,2.4390243902439024
Stade Pierre-Mauroy,11.643835616438356,16.43835616438356
Stade Roland-Garros,5.673758865248227,6.382978723404255
Stade tour Eiffel,8.210947930574099,5.540720961281709
Stade Yves-du-Manoir,3.6764705882352944,8.088235294117647
Trocadéro,7.758053911900066,5.851413543721236
Vélodrome national,3.875968992248062,12.4031007751938
