lieu,n,plus_pres,plus_loin,nom_plus_pres
Arena Bercy,1542,83,1498,OHMYGF
Arena Champ-de-Mars,1410,184,1499,C. COMME CHEZ VOUS
Arena Paris Nord,23,379,1478,KENTARINE
Arena Paris Sud,695,154,1499,LAGARDERE TRAVEL RETAIL FRANCE
Arena Paris Sud 1,695,154,1499,LAGARDERE TRAVEL RETAIL FRANCE
Arena Paris Sud 6,695,154,1499,LAGARDERE TRAVEL RETAIL FRANCE
Arena Porte de La Chapelle,949,213,1499,POPULETTES
Centre aquatique,464,263,1497,ARUN
Château de Versailles,5,1053,1390,LATINO
Clichy-sous-Bois,164,258,1499,RESTAURANT GUL
Colline d'Elancourt,32,491,1480,JMD PIZZAS
Concorde,3126,125,1499,CUCINA SAINT GERMAIN
Golf national,4,368,1250,LCA
Grand Palais,2489,129,1499,C. COMME CHEZ VOUS
Hôtel de ville-Invalides,5133,26,1499,KLUB PARIS
Invalides,2161,105,1499,C 11 BIS
Invalides-Pont Alexandre-III,2451,33,1499,C. COMME CHEZ VOUS
Marina de Marseille,114,96,1498,SAVEURS ET CONCEPTS
Parc des Princes,245,200,1474,KOEDO FRANCE
Paris La Défense Arena,511,100,1499,PAINS & CIRC.
Pont Alexandre-III,2451,33,1499,C. COMME CHEZ VOUS
Site d'escalade,163,230,1498,LE PALAIS DE FES
Stade BMX,129,219,1491,BEYDIUM
Stade de Bordeaux,7,688,1307,SOCIETE DE GESTION DU RESTAURANT DES TROIS CARDINAUX
Stade de France,462,204,1499,ARUN
Stade de la Beaujoire,40,221,1426,T P  JONELIERE
Stade de Lyon,55,271,1481,SOC D'EXPLOITATION LE COUERON
Stade de Marseille,390,131,1497,L ESPACE
Stade de Nice,50,170,1469,SAKEP
Stade Geoffroy-Guichard,78,91,1492,V.D.Y.C.
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,41,889,1475,THANG LONG
Stade nautique-Bassin eau vive,41,889,1475,THANG LONG
Stade Pierre-Mauroy,146,203,1494,PATATI ET PATATA
Stade Roland-Garros,141,217,1496,BAGATELLE RESTAURATION
Stade tour Eiffel,1498,107,1498,C. COMME CHEZ VOUS
Stade Yves-du-Manoir,136,312,1470,LAGARDERE TRAVEL RETAIL FRANCE
Trocadéro,1521,92,1499,C. COMME CHEZ VOUS
Vélodrome national,129,130,1480,BEYDIUM
