lieu,nb,restauration_traditionnelle,restauration_de_type_rapide,debits_de_boissons
Arena Bercy,1542,53.82619974059663,37.7431906614786,8.430609597924773
Arena Champ-de-Mars,1410,61.41843971631206,32.62411347517731,5.957446808510639
Arena Paris Nord,23,30.434782608695656,69.56521739130434,0
Arena Paris Sud,695,57.41007194244604,34.24460431654676,8.345323741007196
Arena Paris Sud 1,695,57.41007194244604,34.24460431654676,8.345323741007196
Arena Paris Sud 6,695,57.41007194244604,34.24460431654676,8.345323741007196
Arena Porte de La Chapelle,949,46.99683877766069,42.67650158061117,10.326659641728135
Centre aquatique,464,38.577586206896555,49.353448275862064,12.068965517241379
Château de Versailles,5,60,40,0
Clichy-sous-Bois,164,24.390243902439025,60.97560975609756,14.634146341463413
Colline d'Elancourt,32,34.375,62.5,3.125
Concorde,3126,55.88611644273832,37.555982085732566,6.557901471529111
Golf national,4,75,25,0
Grand Palais,2489,56.60907995178787,36.6412213740458,6.749698674166332
Hôtel de ville-Invalides,5133,58.308981102669,32.20338983050847,9.487629066822521
Invalides,2161,56.96436834798704,36.279500231374364,6.756131420638593
Invalides-Pont Alexandre-III,2451,56.9563443492452,36.434108527131784,6.6095471236230106
Marina de Marseille,114,56.14035087719298,35.08771929824561,8.771929824561402
Parc des Princes,245,60.40816326530612,35.51020408163265,4.081632653061225
Paris La Défense Arena,511,43.05283757338552,53.8160469667319,3.131115459882583
Pont Alexandre-III,2451,56.9563443492452,36.434108527131784,6.6095471236230106
Site d'escalade,163,42.331288343558285,44.171779141104295,13.496932515337424
Stade BMX,129,42.63565891472868,54.263565891472865,3.10077519379845
Stade de Bordeaux,7,71.42857142857143,28.57142857142857,0
Stade de France,462,38.52813852813853,49.134199134199136,12.337662337662337
Stade de la Beaujoire,40,30,67.5,2.5
Stade de Lyon,55,30.909090909090907,58.18181818181818,10.909090909090908
Stade de Marseille,390,38.97435897435898,50.51282051282051,10.512820512820513
Stade de Nice,50,34,60,6
Stade Geoffroy-Guichard,78,34.61538461538461,51.28205128205128,14.102564102564102
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,41,48.78048780487805,43.90243902439025,7.317073170731707
Stade nautique-Bassin eau vive,41,48.78048780487805,43.90243902439025,7.317073170731707
Stade Pierre-Mauroy,146,44.52054794520548,52.73972602739726,2.73972602739726
Stade Roland-Garros,141,59.57446808510638,38.297872340425535,2.127659574468085
Stade tour Eiffel,1498,60.08010680907877,34.31241655540721,5.607476635514018
Stade Yves-du-Manoir,136,41.911764705882355,50.73529411764706,7.352941176470589
Trocadéro,1521,60.02629848783695,34.51676528599605,5.456936226166995
Vélodrome national,129,42.63565891472868,54.263565891472865,3.10077519379845
